Reference_Species	Species	Genus	Subfamily	Family	Order	Class	Phylum	Kingdom	Realm	
Reference_MT774396	Blohavirus americanus	Blohavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130495	Blohavirus faecalis	Blohavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774403	Buchavirus coli	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774395	Buchavirus copri	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774397	Buchavirus faecalis	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130498	Buchavirus hiberniae	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774398	Buchavirus hominis	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130493	Buchavirus intestinalis	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MZ130496	Buchavirus oralis	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774399	Buchavirus splanchnicus	Buchavirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT774400	Buorbuivirus hominis	Buorbuivirus	Loutivirinae	Suoliviridae	Crassvirales	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
