Reference_Species	Species	Genus	Subfamily	Family	Order	Class	Phylum	Kingdom	Realm	
Reference_MH193369	Efquatrovirus LY0322	Efquatrovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG708276	Efquatrovirus PMBT2	Efquatrovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX284704	Efquatrovirus SANTOR1	Efquatrovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF678788	Efquatrovirus SHEF2	Efquatrovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF678789	Efquatrovirus SHEF4	Efquatrovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF678790	Efquatrovirus SHEF5	Efquatrovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KF772233	Eiauvirus eiAU	Eiauvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_EU717894	Eisenstarkvirus L7	Eisenstarkvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT497017	Elemovirus elemoA	Elemovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT497068	Elemovirus elemoB	Elemovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT497067	Elemovirus elemoC	Elemovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT497091	Elemovirus elemoD	Elemovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT497072	Elemovirus elemoE	Elemovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT497071	Elemovirus elemoF	Elemovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG839027	Elerivirus eleri	Elerivirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH884509	Elmenteitavirus ev125	Elmenteitavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AJ697969	Elvirus EL	Elvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KU998239	Emalynvirus cozz	Emalynvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KU963260	Emalynvirus emalyn	Emalynvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_HQ403646	Emalynvirus GTE2	Emalynvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG770215	Emalynvirus troje	Emalynvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KR052480	Emdodecavirus M7	Emdodecavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KF381361	Emdodecavirus M12	Emdodecavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KR052482	Emdodecavirus N3	Emdodecavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH271296	Emperorvirus emperor	Emperorvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG812496	Emperorvirus sallyspecial	Emperorvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KY630187	Eneladusvirus BF	Eneladusvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_LT960551	Eneladusvirus Yen904	Eneladusvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MN812722	Enfavirus NF	Enfavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JF712866	Enhodamvirus VC8	Enhodamvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AY505112	Enhodamvirus VP2	Enhodamvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AY510084	Enhodamvirus VP5	Enhodamvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_LR881104	Eowynvirus eowyn	Eowynvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG711462	Eponavirus epona	Eponavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK660712	Ericdabvirus ericdab	Ericdabvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX397364	Erskinevirus asesino	Erskinevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JX316028	Erskinevirus EaH2	Erskinevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_HQ634174	Eurybiavirus MED4213	Eurybiavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_GU071101	Eurybiavirus PHM1	Eurybiavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_GU075905	Eurybiavirus PHM2	Eurybiavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX557277	Eyrevirus eyre	Eyrevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK814757	Fairfaxidumvirus fairfaxidum	Fairfaxidumvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MN234161	Fairfaxidumvirus toast	Fairfaxidumvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK801721	Fairfaxidumvirus william	Fairfaxidumvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH834612	Fajavirus faja	Fajavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KJ173786	Farahnazvirus ISF9	Farahnazvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AY605066	Fattrevirus AT3	Fattrevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH443100	Feofaniavirus Eho49	Feofaniavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH443101	Feofaniavirus Eho59	Feofaniavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG727695	Fernvirus BN12	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KP296791	Fernvirus diva	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH454078	Fernvirus eltigre	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KT361649	Fernvirus fern	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KP202972	Fernvirus Hb10c2	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH454079	Fernvirus jacopo	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH431936	Fernvirus kawika	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG727701	Fernvirus leyra	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG727702	Fernvirus likha	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH431937	Fernvirus lucielle	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KF010834	Fernvirus P123	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG727699	Fernvirus pagassa	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG727698	Fernvirus PBL1c	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KP296793	Fernvirus rani	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KP296795	Fernvirus shelly	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KP296796	Fernvirus sitara	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG727700	Fernvirus tadhana	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH431931	Fernvirus yyerffej	Fernvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_OL964756	Ferozepurvirus pAEv1810	Ferozepurvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MN032614	Ferozepurvirus PS1	Ferozepurvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AY954954	Fibralongavirus fv2638A	Fibralongavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK450538	Fibralongavirus QT1	Fibralongavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KM873719	Ficleduovirus FCL2	Ficleduovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KY979235	Ficleduovirus FCV1	Ficleduovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG962366	Finchvirus finch	Finchvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KU599877	Fipvunavirus Fpv1	Fipvunavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KT876724	Fipvunavirus Fpv4	Fipvunavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT740737	Firingavirus firinga	Firingavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AB863625	Firingavirus RSK1	Firingavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KU130129	Flaumdravirus KIL2	Flaumdravirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KU130126	Flaumdravirus KIL4	Flaumdravirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK814760	Forzavirus forza	Forzavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH834613	Fowlmouthvirus fowlmouth	Fowlmouthvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT161385	Foxquatrovirus fox4	Foxquatrovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT161381	Foxunavirus fox1	Foxunavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT161382	Foxunavirus fox2	Foxunavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT161383	Foxunavirus fox3	Foxunavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT161384	Foxunavirus fox5	Foxunavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_HQ317390	Franklinbayvirus fv9A	Franklinbayvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK779875	Fremauxvirus CHPC971	Fremauxvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_EU081845	Fremauxvirus fv1706	Fremauxvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN699005	Fromanvirus alma	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JX015524	Fromanvirus astro	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AY500153	Fromanvirus bethlehem	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN699000	Fromanvirus billknuckles	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JF957057	Fromanvirus bpbiebs31	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN698998	Fromanvirus bruns	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AF271693	Fromanvirus Bxb1	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_DQ398043	Fromanvirus Che12	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AF022214	Fromanvirus D29	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN153085	Fromanvirus doom	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN153086	Fromanvirus euphoria	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JF704107	Fromanvirus george	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JX307704	Fromanvirus goose	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_EU744251	Fromanvirus jasper	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JF937099	Fromanvirus JC27	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_EU744248	Fromanvirus KBG	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JF937110	Fromanvirus kssjeb	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN699016	Fromanvirus kugel	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_Z18946	Fromanvirus L5	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JF937100	Fromanvirus lesedi	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_EU744249	Fromanvirus lockley	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JX307705	Fromanvirus marcell	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN020140	Fromanvirus mrgordo	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JF937103	Fromanvirus museum	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JQ698665	Fromanvirus nepal	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JF704110	Fromanvirus packman	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN572689	Fromanvirus perseus	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JX411619	Fromanvirus rebeuca	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_GU339467	Fromanvirus redrock	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN398369	Fromanvirus ridgecb	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN831654	Fromanvirus saintus	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_GU247132	Fromanvirus skipole	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_EU826470	Fromanvirus solon	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JF937108	Fromanvirus switzer	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JF946695	Fromanvirus SWU1	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN408461	Fromanvirus trixie	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JQ512844	Fromanvirus twister	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AY500152	Fromanvirus U2	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN687951	Fromanvirus violet	Fromanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AB231700	Fukuivirus LMM01	Fukuivirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KF356199	Fukuivirus MVDC	Fukuivirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KJ567043	Gaiavirus gaia	Gaiavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MF140397	Galaxyvirus abidatro	Galaxyvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KU160644	Galaxyvirus galaxy	Galaxyvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KR053194	Galunavirus GAL1	Galunavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KR063279	Gamtrevirus GMA3	Gamtrevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT740731	Gervaisevirus claudettte	Gervaisevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT740740	Gervaisevirus gervaise	Gervaisevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH638294	Gervaisevirus GP4	Gervaisevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KR063278	Getseptimavirus GMA7	Getseptimavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN035618	Getseptimavirus GTE7	Getseptimavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX557278	Ghobesvirus ghobes	Ghobesvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_EU203571	Gilesvirus giles	Gilesvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH727556	Gillianvirus oneinagillian	Gillianvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KR063281	Gimaduovirus GMA2	Gimaduovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MN586039	Gladiatorvirus blinn1	Gladiatorvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KF560332	Gladiatorvirus CloudWang3	Gladiatorvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN049605	Gladiatorvirus ericB	Gladiatorvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JF704097	Gladiatorvirus gladiator	Gladiatorvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JF937094	Gladiatorvirus hammer	Gladiatorvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN699019	Gladiatorvirus jeffabunny	Gladiatorvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK359352	Gladiatorvirus jewelbug	Gladiatorvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG099945	Gladiatorvirus koko	Gladiatorvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH155876	Gladiatorvirus priamo	Gladiatorvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KF560334	Gladiatorvirus zaka	Gladiatorvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_LR595862	Glaedevirus gv2H10	Glaedevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK620899	Godonkavirus godonK	Godonkavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MN096369	Godonkavirus phendrix	Godonkavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH898687	Gofduovirus edno5	Gofduovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AP014629	Gofduovirus GF2	Gofduovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK016495	Goodmanvirus goodman	Goodmanvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KU160641	Gordonvirus captnmurica	Gordonvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KU160646	Gordonvirus gordon	Gordonvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KP790008	Gordtnkvirus gordtnk2	Gordtnkvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KY742649	Gorganvirus isfahan	Gorganvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX557281	Gorjumvirus jumbo	Gorjumvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK327938	Goslarvirus goslar	Goslarvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KR053198	Grutrevirus GMA5	Grutrevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KR053197	Grutrevirus GRU3	Grutrevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG198784	Gustavvirus gustav	Gustavvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG198783	Gustavvirus mahdia	Gustavvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH431938	Halcyonevirus C7Cdelta	Halcyonevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH460827	Halcyonevirus halcyone	Halcyonevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH460825	Halcyonevirus scottie	Halcyonevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KT755656	Halcyonevirus tripp	Halcyonevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH460824	Halcyonevirus unity	Halcyonevirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_EU399241	Hapunavirus HAP1	Hapunavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_EF057797	Hapunavirus VP882	Hapunavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MT613935	Harrisonburgvirus persinger	Harrisonburgvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MN812207	Hattifnattvirus hattifnatt	Hattifnattvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KX557279	Hedwigvirus hedwig	Hedwigvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MG020111	Heilongjiangvirus Lb	Heilongjiangvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC821613	Helsingorvirus Cba121	Helsingorvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC821617	Helsingorvirus Cba171	Helsingorvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_KC821619	Helsingorvirus Cba181	Helsingorvirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MH910036	Hestiavirus hestia	Hestiavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_AB775548	Hiroshimavirus PPpW3	Hiroshimavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_MK279841	Hiyaavirus hiyaa	Hiyaavirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
Reference_JN698994	Hnatkovirus DS6A	Hnatkovirus	NA	NA	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
