Species	Species	Genus	Subfamily	Family	Order	Class	Phylum	Kingdom	Realm	
MT074475	Kuttervirus dinky	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
JX128257	Kuttervirus ECML4	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MG748547	Kuttervirus EP75	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MG383452	Kuttervirus FEC14	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KX245012	Kuttervirus GG32	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074470	Kuttervirus heyday	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KR296692	Kuttervirus kv38	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074480	Kuttervirus maane	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KF669653	Kuttervirus marshall	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KF669654	Kuttervirus maynard	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074478	Kuttervirus moki	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MG428992	Kuttervirus mutine	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074479	Kuttervirus pertopsoe	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
JN673056	Kuttervirus PhaxI	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
KX438380	Kuttervirus PM10	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MT074469	Kuttervirus rabagast	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MH370371	Kuttervirus S118	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
MK972690	Kuttervirus SE14	Kuttervirus	Cvivirinae	Ackermannviridae	NA	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	
